,id,blat,blon,elat,elon,sides,address,type,rate,num_meters,num_safe,num_towed
68,69a460b4-18ea-420f-abff-86be8010d88a,39.9425249,-75.1572635,39.9413338,-75.1587063,B,"600+S+09TH+ST+Philadelphia,+PA",zone,,,,
69,0314a10d-2325-44ef-add3-eaf68be1bd00,39.9378575,-75.1599585,39.9383802,-75.161227,B,"1000+CARPENTERST+Philadelphia,+PA",zone,,,,
70,b7fa3297-cd36-4d21-9712-67eeab6f44b4,39.967778,-75.175483,39.9699191,-75.1750113,W,"700+N+23RD+ST+Philadelphia,+PA",zone,,,,
71,a1e8391f-a914-456f-8847-0ee3afa77af7,39.943741,-75.170671,39.9439898,-75.1724006,S,"1700+KATER+ST+Philadelphia,+PA",zone,,,,
72,59169ab1-8de2-4c1f-afbf-7e7ffcbfff52,39.9430061,-75.1521254,39.9432027,-75.1537422,S,"600+LOMBARD+ST+Philadelphia,+PA",zone,,,,
73,749faae1-c789-4e71-8efc-265c02c395a6,40.077107,-75.2094411,40.0779849,-75.2106558,W,"8700+GERMANTOWN+AVE+Philadelphia,+PA",zone,,,,
74,67914f05-ee55-46a8-bf79-1d4539ad183a,39.9641592,-75.1647747,39.9642355,-75.1661207,B,"1600+GREEN+ST+Philadelphia,+PA",zone,,,,
75,120ab65e-56cc-4894-9b7c-e669d4756658,39.9623333,-75.1430697,39.9625773,-75.1447476,B,"300+FAIRMOUNT+AVE+Philadelphia,+PA",zone,,,,
76,dfe3a6e1-561a-43d3-a26b-62fc1e8f9fe4,39.9525839,-75.1652215,39.9525839,-75.1652215,B,"700+S+08TH+ST+Philadelphia,+PA",zone,,,,
77,c05df53e-1c52-4eed-b678-e89166fca5fe,39.9287264,-75.1694465,39.9288648,-75.1704461,S,"1400+CASTLE+ST+Philadelphia,+PA",zone,,,,
78,62df33a9-0251-42ae-a1d1-7dc0ba49dd9e,39.9235451,-75.1732432,39.9222265,-75.1737009,W,"2200+S+16TH+ST+Philadelphia,+PA",zone,,,,
79,8bb98d92-3b2d-4446-a1fa-f5b22b8d1b9a,39.9427841,-75.1658219,39.9429416,-75.1676318,S,"1400+BAINBRIDGE+ST+Philadelphia,+PA",zone,,,,
80,70c16bcd-811d-4aad-9c53-dd88d04eda2f,39.9313752,-75.1662158,39.9301575,-75.1664676,B,"1500+S+13TH+ST+Philadelphia,+PA",zone,,,,
81,07381e1c-3580-4b95-be92-d15bb09ab970,39.976698,-75.127544,39.9759285,-75.1261678,B,"2400+E+NORRIS+Philadelphia,+PA",zone,,,,
82,7f4e3bf3-866c-495d-84e3-c2fe00867157,39.9361985,-75.1451586,39.9364216,-75.1467288,S,"100+BECK+ST+Philadelphia,+PA",zone,,,,
83,fa024c8b-a744-4873-84b2-6cd30749a0e4,39.9466719,-75.1748364,39.9468389,-75.1767541,N,"2000+PINE+ST+Philadelphia,+PA",zone,,,,
84,d72853ed-5d4a-46b4-bde7-c2a1538c57f1,39.946941,-75.1766095,39.9460164,-75.1768083,E,"400+S+21ST+ST+Philadelphia,+PA",zone,,,,
85,852e86f0-0390-4770-a049-4b4d296b30ed,40.0395352,-75.1544176,40.0412286,-75.1542628,E,"5600+N+20TH+ST+Philadelphia,+PA",zone,,,,
86,9dfbb598-9663-4f62-abab-e093d4474f5a,39.9414576,-75.1726621,39.9417009,-75.1744519,B,"1800+CATHARINE+ST+Philadelphia,+PA",zone,,,,
87,73bef5df-c50a-4861-ac04-7970fac4cbd5,39.9684486,-75.1746498,39.978595,-75.1719614,W,"700+CROSKEY+ST+Philadelphia,+PA",zone,,,,
88,c0bfabba-070a-4119-8976-c77fcc0b152f,39.9232234,-75.1707022,39.9219719,-75.1709709,E,"2200+S+ROSEWOOD+ST+Philadelphia,+PA",zone,,,,
89,f1e545e9-6162-415b-884a-0ce6086600f4,39.9684224,-75.1683199,39.9684224,-75.1683199,W,"800+SHIRLEY+ST+Philadelphia,+PA",zone,,,,
90,f2d6287c-e6e7-4437-bf9c-76a46e40446c,39.9524867,-75.2092837,39.9513336,-75.2095402,B,"300+S+43RD+ST+Philadelphia,+PA",zone,,,,
91,b64bafa6-7594-4fbb-a481-4e71d50e7bfd,39.961293,-75.19721,39.9626063,-75.1739891,B,"3800+HAMILTON+ST+Philadelphia,+PA",zone,,,,
92,a6d7ea19-4e81-4977-9780-44ce148e233f,39.9272213,-75.163818,39.9274522,-75.1653713,N,"1100+MOORE+ST+Philadelphia,+PA",zone,,,,
93,75d6d72e-8306-4deb-8d9e-05196f057640,39.96653,-75.175691,39.9668278,-75.1771113,S,"2300+WALLACE+ST+Philadelphia,+PA",zone,,,,
94,859bab25-7fba-44d4-bc49-cf1902d0dd60,40.0405141,-75.1445119,40.040596,-75.146512,B,"1400+CLEARVIEW+AVE+Philadelphia,+PA",zone,,,,
95,0f6e7581-7763-4388-84ae-8f4a1a8d5906,39.9231597,-75.1646632,39.9234408,-75.1660749,N,"1100+CANTRELL+ST+Philadelphia,+PA",zone,,,,
96,9506b3ec-7518-4d89-ba28-321e211ef84d,39.9457995,-75.1563876,39.9441289,-75.1570657,E,"300+S+09TH+ST+Philadelphia,+PA",zone,,,,
97,5bce5971-a3bc-4aec-ba7a-7423bf1b492d,39.9569614,-75.1728053,39.9576431,-75.1742768,N,"2000+RACE+ST+Philadelphia,+PA",zone,,,,
