METER NUMBER,BLOCK/LIMITS,STREET,SIDE,DISTRICT,MANUFACTURER,MODEL,RATE,FROM DAY,TO DAY,FROM TIME,TO TIME,LIMIT HR,LIMIT MIN,TIMER,STATUS,INSTALLED,MAINTENANCE ROUTE
CAL01,LOT,CALLOWHILL,N,80,METRIC,P&D,$8.00 ,SUN,SAT,0600A,1159P,24,,24HR,"I		",12/17/14,1-NEQ
1229035,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229036,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229037,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229038,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229039,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229040,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229043,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229044,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229045,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229046,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229047,200,N 12,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,1,,1HR,"R		",1/1/82,1-NEQ
1229050,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229051,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229052,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229053,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229054,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229055,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229056,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229057,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229058,201,N 11,E,12,D-E-HP,80,$2.50 ,MON,SAT,0800A,0800P,2,,2HR,"I		",1/1/82,1-NEQ
1229059,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229060,201,N 11,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229065,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229066,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229067,200,N 10,W,12,D,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229068,200,N 10,W,12,D,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229069,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229070,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229071,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229072,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229073,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229074,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229075,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229076,200,N 10,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229079,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229080,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229081,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229082,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229083,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229084,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229085,200,N 9,W,12,D-E,80,$2.50 ,MON,SAT,0800A,0800P,2,,2HR,"I		",1/1/82,1-NEQ
1229087,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229088,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229089,200,N 9,W,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229096,201,N 9,E,12,D-E-HP,80,$2.50 ,MON,SAT,0800A,0800P,2,,2HR,"I		",1/1/82,1-NEQ
1229097,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229098,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
1229099,201,N 9,E,12,D-E,80,$2.00 ,MON,SAT,0800A,0800P,2,,2HR,"R		",1/1/82,1-NEQ
